Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
8205201,"Chá diet (preto, camomila, erva-cidreira, capim-limão, etc.) ",2.524,CHA DIET PRETO CAMOMILA ERVA CIDREIRA CAPIM LIMAO
8205402,Paraguai refrigerante tradicional,39.0,PARAGUAI REFRIGERANTE TRADICIONAL
8205803,Gatorade,27.011,GATORADE
8205901,Bebida energética,45.348,BEBIDA ENERGETICA
8206301,"Chá (preto, camomila, erva-cidreira, capim-limão, etc.)",1.001,CHA PRETO CAMOMILA ERVA CIDREIRA CAPIM LIMAO
8206402,Café solúvel capuccino ,27.707,CAFE SOLUVEL CAPUCCINO
8207401,Refrigerante de guaraná diet,0.0,REFRIGERANTE GUARANA DIET
8207402,Guaraná diet,0.0,GUARANA DIET
8207601,Refrigerante de limão diet,0.0,REFRIGERANTE LIMAO DIET
8207705,Fanta uva light,0.0,FANTA UVA LIGHT
8208104,Mate light,2.803,MATE LIGHT
8209002,Água tônica light,40.017,AGUA TONICA LIGHT
8209102,Paraguai refrigerante light,2.002,PARAGUAI REFRIGERANTE LIGHT
8211002,Q-suco light,15.28,Q SUCO LIGHT
8211003,Q-refresko light,15.28,Q REFRESKO LIGHT
8211102,Q-suco diet,15.28,Q SUCO DIET
8212401,Café capuccino solúvel light,12.766,CAFE CAPUCCINO SOLUVEL LIGHT
8212501,Café capuccino solúvel diet,12.766,CAFE CAPUCCINO SOLUVEL DIET
8212902,Água tônica diet,40.017,AGUA TONICA DIET
8212906,Refrigerante de quinino dietético,40.017,REFRIGERANTE QUININO DIETETICO
8213003,Chá mate orgânico,2.803,CHA MATE ORGANICO
8213004,Chimarrão orgânico,2.803,CHIMARRAO ORGANICO
8213601,Suco de clorofila,1.873,SUCO CLOROFILA
8273902,Café com farinha,181.0005,CAFE FARINHA
8300101,Cerveja (com ou sem álcool),43.185,CERVEJA ALCOOL
8300201,Chopp,43.185,CHOPP
8300301,Aguardente,216.0,AGUARDENTE
8300302,Cachaça,216.0,CACHACA
8300501,Batida de qualquer sabor,187.38,BATIDA QUALQUER SABOR
8300701,Rum,230.182,RUM
8300801,Vodka,217.153,VODKA
8301001,Uísque,230.182,UISQUE
8301002,Whisky,230.182,WHISKY
8301201,Champanhe,82.0,CHAMPANHE
8301202,Sidra champanhe,82.0,SIDRA CHAMPANHE
8301501,Martini,194.436,MARTINI
8301601,Conhaque,231.0,CONHAQUE
8301701,Drink dreher,216.0,DRINK DREHER
8301901,Licor de qualquer sabor,282.649,LICOR QUALQUER SABOR
8302409,Cajuína,45.0,CAJUINA
8302415,Vinho,84.504,VINHO
8302416,Catuaba,216.0,CATUABA
8302901,Coquetel de frutas,187.38,COQUETEL FRUTAS
8303101,Caipirinha,143.899,CAIPIRINHA
8303501,Bebida alcoólica ,216.0,BEBIDA ALCOOLICA
8303615,Vinho orgânico,84.504,VINHO ORGANICO
8304301,Cerveja (com ou sem álcool) light,29.0,CERVEJA ALCOOL LIGHT
8304502,Caxiri (aguardente de mandioca),216.0,CAXIRI AGUARDENTE MANDIOCA
8400101,Azeite de oliva,887.805,AZEITE OLIVA
8400301,Óleo de soja,879.734,OLEO SOJA
8401801,Banha suína,902.0,BANHA SUINA
8403001,Banha bovina,680.0,BANHA BOVINA
8403201,Óleo não especificado,879.734,OLEO ESPECIFICADO
8403501,Óleo de dendê,857.84,OLEO DENDE
8500201,Salgadinho,274.6,SALGADINHO
8500202,"Pastel (queijo, carne, palmito, etc.)",319.807,PASTEL QUEIJO CARNE PALMITO
8500203,Croquete ,274.6,CROQUETE
8500205,Coxinha ,274.6,COXINHA
8500206,"Empada (queijo, carne, camarão, etc.)",153.963,EMPADA QUEIJO CARNE CAMARAO
